Breath Number	Tracer Cet [%]	LCI	FRC [l]	Tracer Initial [%]	Tracer Normalized [%]	VolumeInsp[ml]	Volume Exp [ml}	CEV [l]	CEV-DS [l]	Tracer Exp [ml]	Tracer Netto [ml]	Tracer CEV [ml]	Tracer Reinsp [ml]	Flow Insp Mean [ml/s]	Flow Exp Mean [ml/s]	
1	71.671	0.118436	4.22161	77.7983	92.1241	499.99	499.99	0.49999	0.49999	258.671	258.671	258.671	0	312.501	312.501	
2	65.7917	0.242029	4.13165	77.7983	84.567	499.99	499.99	0.99998	0.99998	237.399	237.399	496.07	0	312.501	312.501	
3	60.3953	0.365606	4.10269	77.7983	77.6307	499.99	499.99	1.49997	1.49997	217.919	217.919	713.989	0	312.501	312.501	
4	55.4417	0.489192	4.08842	77.7983	71.2634	499.945	500.053	2.00002	2.00002	200.043	200.043	914.032	0	312.501	312.501	
5	50.8943	0.612762	4.07991	77.7983	65.4183	499.99	499.99	2.50001	2.50001	183.624	183.624	1097.66	0	312.501	312.501	
6	46.72	0.736328	4.07427	77.7983	60.0528	499.99	499.99	3	3	168.557	168.557	1266.21	0	312.501	312.501	
7	42.8881	0.859891	4.07027	77.7983	55.1273	499.99	499.99	3.49999	3.49999	154.727	154.727	1420.94	0	312.501	312.501	
8	39.3705	0.98345	4.0673	77.7983	50.6058	499.99	499.99	3.99998	3.99998	142.032	142.032	1562.97	0	312.501	312.501	
9	36.1414	1.10701	4.065	77.7983	46.4553	499.99	499.99	4.49997	4.49997	130.379	130.379	1693.35	0	312.501	312.501	
10	33.1772	1.23056	4.06317	77.7983	42.6451	499.99	499.99	4.99996	4.99996	119.682	119.682	1813.03	0	312.501	312.501	
11	30.4561	1.3541	4.06169	77.7983	39.1475	499.99	499.99	5.49995	5.49995	109.862	109.862	1922.89	0	312.501	312.501	
12	27.9582	1.47765	4.06047	77.7983	35.9367	499.99	499.99	5.99994	5.99994	100.849	100.849	2023.74	0	312.501	312.501	
13	25.6651	1.60118	4.05945	77.7983	32.9894	499.99	499.99	6.49993	6.49993	92.5748	92.5748	2116.32	0	312.501	312.501	
14	23.5602	1.72472	4.05861	77.7983	30.2837	499.945	500.04	6.99997	6.99997	84.9915	84.9915	2201.31	0	312.501	312.501	
15	21.6279	1.84825	4.05787	77.7983	27.8	499.99	499.99	7.49996	7.49996	78.008	78.008	2279.32	0	312.501	312.501	
16	19.8541	1.97178	4.05723	77.7983	25.52	499.99	499.99	7.99995	7.99995	71.6083	71.6083	2350.93	0	312.501	312.501	
17	18.2258	2.0953	4.05667	77.7983	23.4269	499.99	499.99	8.49994	8.49994	65.7337	65.7337	2416.66	0	312.501	312.501	
18	16.731	2.21882	4.05618	77.7983	21.5056	499.99	499.99	8.99993	8.99993	60.341	60.341	2477	0	312.501	312.501	
19	15.3588	2.34233	4.05576	77.7983	19.7418	499.99	499.99	9.49992	9.49992	55.3908	55.3908	2532.39	0	312.501	312.501	
20	14.0992	2.46584	4.05538	77.7983	18.1227	499.99	499.99	9.99991	9.99991	50.8468	50.8468	2583.24	0	312.501	312.501	
21	12.9428	2.58934	4.05504	77.7983	16.6364	499.99	499.99	10.4999	10.4999	46.6756	46.6756	2629.91	0	312.501	312.501	
22	11.8814	2.71285	4.05474	77.7983	15.272	499.99	499.99	10.9999	10.9999	42.8466	42.8466	2672.76	0	312.501	312.501	
23	10.9069	2.83634	4.05447	77.7983	14.0195	499.99	499.99	11.4999	11.4999	39.3317	39.3317	2712.09	0	312.501	312.501	
24	10.0124	2.95984	4.05424	77.7983	12.8697	499.99	499.99	11.9999	11.9999	36.1053	36.1053	2748.2	0	312.501	312.501	
25	9.19127	3.08332	4.05402	77.7983	11.8142	499.99	499.99	12.4999	12.4999	33.1435	33.1435	2781.34	0	312.501	312.501	
26	8.43747	3.20681	4.05383	77.7983	10.8453	499.99	499.99	12.9998	12.9998	30.4247	30.4247	2811.77	0	312.501	312.501	
27	7.74549	3.33029	4.05365	77.7983	9.95587	499.99	499.99	13.4998	13.4998	27.9289	27.9289	2839.69	0	312.501	312.501	
28	7.11027	3.45377	4.05349	77.7983	9.13936	499.99	499.99	13.9998	13.9998	25.6379	25.6379	2865.33	0	312.501	312.501	
29	6.52714	3.57724	4.05335	77.7983	8.38983	499.99	499.99	14.4998	14.4998	23.5349	23.5349	2888.87	0	312.501	312.501	
30	5.99183	3.70072	4.05322	77.7983	7.70176	499.99	499.99	14.9998	14.9998	21.6043	21.6043	2910.47	0	312.501	312.501	
31	5.50043	3.82418	4.0531	77.7983	7.07013	499.99	499.99	15.4998	15.4998	19.8322	19.8322	2930.3	0	312.501	312.501	
32	5.04933	3.94765	4.05299	77.7983	6.49029	499.99	499.99	15.9998	15.9998	18.2054	18.2054	2948.51	0	312.501	312.501	
33	4.63523	4.07111	4.0529	77.7983	5.95801	499.99	499.99	16.4998	16.4998	16.7121	16.7121	2965.22	0	312.501	312.501	
34	4.2551	4.19457	4.05281	77.7983	5.4694	499.945	499.992	16.9998	16.9998	15.3413	15.3413	2980.56	0	312.501	312.501	
35	3.90613	4.31802	4.05273	77.7983	5.02084	500.053	499.99	17.4998	17.4998	14.0829	14.0829	2994.65	0	312.501	312.501	
36	3.58578	4.44148	4.05265	77.7983	4.60908	499.99	499.99	17.9998	17.9998	12.9277	12.9277	3007.57	0	312.501	312.501	
37	3.29171	4.56492	4.05258	77.7983	4.23108	499.99	499.99	18.4997	18.4997	11.8673	11.8673	3019.44	0	312.501	312.501	
38	3.02175	4.68837	4.05252	77.7983	3.88408	499.99	499.99	18.9997	18.9997	10.8939	10.8939	3030.33	0	312.501	312.501	
